mag,lat,lng
2.12,-155.452333333333,19.1961666666667
1.71,-154.985000610352,19.412166595459
1.5,-149.78,61.796
1.6,-147.4683,65.3175
4.8,-134.4768,70.3862
4.3,127.4568,4.9691
1.32,178.380333333333,52.039
4.4,70.2539,36.4389
2.24,-155.488830566406,19.1749992370605
1.12,-122.7968369,38.8191681
1.8,-68.123,46.7148
3,-165.9049,54.0667
1.77999997,-155.373336791992,19.1401672363281
1,-151.374,61.0364
1.9,-118.8178333,34.5645
1.18,-113.7148333,47.3788333
1.47,-122.7683333,38.7865
6,-24.8859,-58.7354
1.1,-122.7098312,38.7683334
1.12,-122.711998,38.770668
1.4,178.337,52.0475
4.1,-67.2942,-24.3084
1.87,-116.7185,33.7055
1.24,-122.712,38.7705
1.80999994,-155.468170166016,19.1585006713867
1.9,-149.7962,61.5941
2.16,-66.878,17.9163333333333
1.4,-150.8619,63.5972
2.03,-155.642666666667,19.4938333333333
1.74,-117.4855,35.6615
1.17,-117.2135,34.0178333
2.03,-118.4841667,37.6368333
1.87,-155.503997802734,19.1823329925537
1.5,-119.4394,38.5416
0.95,-117.5878333,35.7715
1.6,-151.2458,62.8622
4.1,-66.9608,-23.1239
1.62,-121.8708333,37.4933333
2.6,-153.1856,59.7535
2.16,-117.5881667,35.7676667
1.25,-117.628,35.2191667
4.15,-64.7268,19.6006
1.6,-117.5789,37.279
1.77,-97.8455,36.1005
1.8,-66.9403333333333,17.9933333333333
1.12,-117.7131667,35.9223333
1.51,-116.7176667,33.7046667
1.83,-155.007827758789,19.3438339233398
2.38,178.334833333333,52.0503333333333
1.24,178.401833333333,52.0396666666667
2.49,178.294,52.0158333333333
1.9,-152.6071,59.8633
1.2,-148.2069,61.5318
2.3,-145.4383,63.349
1.89,-66.7905,18.0321666666667
1.13,-116.7161667,33.7051667
2.17,-66.8023333333333,17.998
1.1,-149.5303,62.3358
1,-116.7186667,33.7111667
1.5,-150.5923,60.2432
2.29,-66.7538333333333,18.0148333333333
1.5,-147.3061,63.3983
4,-71.672,-15.9071
2,-155.384170532227,19.1986675262451
1.52,178.329,51.9601666666667
1.4,-150.9311,60.8113
1.2,-118.4505,38.0524
1.82,-115.2028333,44.452
1.1,-148.4158,66.0333
2.4,-151.5345,62.5848
1.5,-150.7481,62.6913
1.59,-97.74966667,34.87483333
1.70000005,-155.400329589844,19.1918334960938
1.25,-118.8166667,34.5633333
4.4,120.6695,-7.9437
1.05,-97.729,34.8855
3.9,-151.2083,62.1566
1.8,-121.3396667,40.205
3.02,-155.490333333333,19.1618333333333
2.22,-66.8683333333333,17.9261666666667
2.15,-98.2945,36.23833333
1.99000001,-155.387496948242,19.2111663818359
2.05,-122.8676667,38.8283333
1.6,-144.506,63.1406
